课程名称,课程ID,课程学分,结业条件
生产运营管理的演变历程,a3c8b3c1d7b484aed66a3c6b5d78c941,0.5,课程评估
生产效率损失的九大方面,611d64d8b49a1f80b9a47a26a38d7a04,0.5,课程评估
如何解决制造不良品的效率损失,8666812e1e789d59d914c37ebb2c4db7,1,课程评估
如何解决设备故障与性能降低的效率损失,14b04e017be18faaf253618a20069a12,1,课程评估
如何解决制程平衡率损失,a0185b707959646e898999a95a1e64d0,1,课程评估
班组长的领导艺术,74f30ec8bfbad6b6e50ca47913aa9d20,0.5,课程评估
班组现场管理与6S,3eb15f9e4ac98074a66b720bbede5a68,0.5,课程评估
班组人员管理,0f3f9cf571b49f2dd11700ea92903295,0.5,课程评估
班组成本管理与经济核算,b5888a1d12ed47ed7a7aeb42afa0efc2,0.5,课程评估
班组建设与班组长培养,9b32372487cfc268c8d207d3a16d6d17,0.5,课程评估
班组长的挫折管理,ff16ee634ba602326f90d810fd9bde01,1,课后测试
班组长如何提高管理水平,37992180ff63f112481a57a3ca07cbbe,1.5,课后测试
班组长如何履行好工作职责,a9cd6008933df2efc2f22a4c7120aa99,2,课后测试
班组长的角色定位,c2b1c67045c02f95dbe7ecce01c79034,1,课后测试
班组长如何用人与观人,fb52169b03f59226ab64e17519ae38bc,0.5,课程评估
班组长应掌握的沟通方式,08d76944bf95807d470c1706d2f55fc4,1,课后测试
班组长的角色转换能力,8437c67c29b0f69ad20636cd587c026a,0.5,课程评估
班组长的岗位能力素质要求,9ae636b2cbb73583487b49d88491788e,1,课程评估
班组管理核心要点,894b0f8e9195697a692403b6a70b44bd,0.5,课程评估
班组管理应注意的关键点,9c4aeaa701f7286000e4b673639b6a9f,1,课程评估
班组长自我管理能力提升,699ff4278d3a16069236329ae6d3ccc9,1,课后测试
生产问题的正确认知,7651df8a17cc9394e2bf24dd2ae8834e,1,课程评估
如何解决生产问题,9d2def0288ece7bd83ba0c52044f713b,1.5,课后测试
操作层问题的分析解决,3779724621fc9eac0859a347fcb19469,1,课程评估
如何发现生产问题,bfedb37153a9907ea3d57573c45ce0ee,1.5,课程评估
安全生产常识,5d0c9f8cda8d79c5aaa0a5cbdfce54ee,0.5,课后测试
安全生产管理体系建设,fa6a7b71fe2805f8f326b80ad1cc13d5,0.5,课后测试
员工自我安全管理,7de7a4c21625f8344f39d92d4ec52802,0.5,课后测试
员工行为安全管理,02926989e609c48c198c8882173ac0ae,1,课后测试
班组现场安全生产管理,506f125198370bc7370e11da7ebbb01d,0.5,课后测试
安全生产的基础认知,e939760db0e780593df0587c08f7049e,1.5,课后测试
安全管理四要素,cdb51c00d0d34c6218baadc731f833c3,1,课后测试
间接部门的TPM推行,6aa1bbd8f1f4141dd2f43eaa2899dbbd,0.5,课程评估
TPM的基础认知,85c91cb0fb6ed2c2e5e6e086daaa1a0f,0.5,课后测试
TPM推行准备与活动重点,854ae5b2f9732394c55a6ce8de9410f9,2,课后测试
班组长的角色认知,f04542b8bc151b00ce8a7bb90597394b,0.5,课程评估
班组生产管理,81308eb27e49231f932ef61b9f110b1d,1,课程评估
班组文化与班组建设,47b55a98e413587e8aac2e6f3f3c7228,0.5,课程评估
班组技术与工艺管理,2dd7db38a5fa458867e28d577b7613fe,0.5,课程评估
班组设备与工具管理,d68526766bacf8cea420967e650d7c0b,0.5,课程评估
班组质量管理,9a2606a643b37658235f7e976af03f73,0.5,课程评估
班组物料管理,4b60fbadd0c549d2bd77dbfc7e6011a6,0.5,课程评估
中国式精益管理:三九控制法,71fb355e160dacdcc4f9c2d17100787d,6,课后测试
6S现场管理改善实务,403115a66ab112ce53447592f2f53c39,6,课后测试
新能源商用车市场发展趋势,eee36f37272b4fc1af2fd423430cd2bd,2.4,课程评估
专用车业务管理,96621c6f2465461c9984bb698a3acadc,0.5,课程评估
数字化营销,9688406cb03642de9ac1949262774727,1,课程评估
客户开发与管理,b843740449a14db09494ee80807bf4eb,3,课程评估
国六产品服务,d5c10be73ae34ba69a6730b81cd8e374,1.5,课程评估
解析大数据思维的五大商业本质,MAM020701,2.5,课程评估
利用数据进行运营分析的方法,MAM020702,3.5,课程评估
数字化转型，实现弯道超车的秘诀,MAM020703,1.5,课程评估
大客户销售的五维呈现力,SAM030701,3,课后测试
大客户销售的“破壳之旅”,SAM030702,1.5,课后测试
大客户销售如何获取和使用客户信息,SAM030703,1,课程评估
大客户销售的销售工具,SAM030704,1,课后测试
众筹项目流程设计全攻略,MAM012401,3,课后测试
解析互联网社群的发展趋势,MAM040401,1.5,课后测试
跨过社群运营的五个坑,MAM040402,1,课后测试
如何从好内容变成好生意,MAM040403,0.5,课后测试
如何构建社群运营全案系统,MAM040404,3.5,课后测试
互联网爆品打造——价值法则,MAM040501,1,课后测试
互联网爆品打造——痛点法则,MAM040502,1,课后测试
互联网爆品打造——尖叫点法则,MAM040503,1,课后测试
互联网爆品打造——爆点法则,MAM040504,1.5,课后测试
互联网爆品打造路径图,MAM040505,1.5,课后测试
微信公号设计与运营策略,MAM040506,1.5,课后测试
软文选题策划与标题创意,MAM040507,1.5,课后测试
商务谈判技巧，你需要学会的那些事,SAM030601,2.5,课后测试
商务谈判技巧，你需要掌控的那些事,SAM030602,2,课后测试
构建服务差异化的底层逻辑,SAM010201,1.5,课后测试
如何实现服务的差异化,SAM010202,1.5,课后测试
实现服务共赢的三大技巧,SAM010203,2,课后测试
如何实现大客户沟通中的价值创造,SAM030401,1.5,课后测试
如何通过策略化沟通赢得订单,SAM030402,2,课后测试
这是一个营销致胜的时代,SAM030501,0.5,课后测试
从菜鸟到大咖的七项修炼,SAM030502,1,课后测试
营销大咖的四大思维,SAM030503,1,课后测试
营销大咖的10大成交规则,SAM030504,0.5,课后测试
品牌发展：六个时代与品牌竞争,MAM020601,2,课后测试
品牌构建：六个模块的灵魂沉淀,MAM020602,2,课后测试
客服如何快速获取客户信赖,SAM010101,0.5,课程评估
四个方案轻松处理客户异议,SAM010102,0.5,课程评估
电销宝典——突破阻力，引发客户兴趣,SAM030301,0.5,课程评估
电销宝典——挖掘需求，应对抗拒,SAM030302,0.5,课程评估
电销宝典——产品呈现，促成交易,SAM030303,0.5,课程评估
电销宝典——把握机会，获得承诺,SAM030304,0.5,课程评估
电销宝典——消除顾虑，拿下订单,SAM030305,0.5,课程评估
第一项修炼：转变角色——如何从销售精英到卓越管理者,SAM020101,1.5,课后测试
第二项修炼：发展团队——吸引高潜质销售人员留任，壮大团队,SAM020102,1,课后测试
第三项修炼：训练下属——销售人员需要掌握哪些必要技能,SAM020103,4,课后测试
第四项修炼：有效管理——如何建立有效的团队日常管理系统,SAM020104,2.5,课后测试
第五项修炼：优化流程——如何让高绩效员工带动团队绩效,SAM020105,0.5,课后测试
第六项修炼：制定策略——选择有效的市场策略，快速提升销量,SAM020106,1,课后测试
第七项修炼：管理客户——制定客户管理策略，提升客户价值,SAM020107,0.5,课后测试
初入职场的Lucy——自我形象设计与管理,SAM030201,1,课后测试
新手Lucy的第一关——如何做好电话沟通,SAM030202,1.5,课后测试
Lucy要去拜访客户了——如何做好客户拜访,SAM030203,1.5,课后测试
LUCY的商务呈现大放异彩——如何做好方案与维护,SAM030204,3.5,课后测试
临门一脚，顺利成单——如何做好商务谈判,SAM030205,1.5,课后测试
取势：社群是社会关系发展的必然趋势,MAM012301,1,课后测试
立魂：社群的精神内核,MAM012302,0.5,课后测试
明道：社群商业与社群经济,MAM012303,0.5,课后测试
成法：社群模式,MAM012304,0.5,课后测试
优术：社群运营,MAM012305,0.5,课后测试
利器：社群工具与社群平台,MAM012306,0.5,课后测试
福利：商业应用案例集锦,MAM012307,1,课后测试
大客户销售的成功之道,SAM030101,1.5,课后测试
大客户销售路线图的精确解剖法,SAM030102,2,课后测试
提高大客户订单成功率的量子武器,SAM030103,1.5,课后测试
领会大客户思维方式，提高业务成交率,MAM031101,1,课后测试
大客户成交，训练有素才能心想事成,MAM031102,1.5,课后测试
四个套路 大客户成交有成算,MAM031103,1.5,课后测试
中标密码箱之寻标，你最容易忽略的事,MAM031001,1.5,课后测试
中标密码箱之跟标，你要弄清楚的事,MAM031002,2,课后测试
中标密码箱之控标，你应该把控的事,MAM031003,2,课后测试
中标密码箱之投标，你必须细心做的事,MAM031004,1.5,课后测试
中标密码箱之中标，你不可掉以轻心的事,MAM031005,1,课后测试
一眼看透数据背后的秘密，原来对手的行为路径是这样的,MAM073501,0.5,课程评估
一眼识破对手，你还差这件事没做,MAM073502,0.5,课程评估
设定谈判底线很难？让小白变成老司机的技巧,MAM073503,0.5,课程评估
一堂课教会你，如何有效掌控谈判节奏,MAM073504,0.5,课程评估
不说话也能秒杀对手的8种方法,MAM073505,0.5,课程评估
掌握这八种技巧，让你在谈判场上轻松表达,MAM073506,0.5,课程评估
两招直击对手痛处，精准提问你不容错过,MAM073507,0.5,课程评估
应对疑难问题，不用烧脑也能解决问题的技巧,MAM073508,0.5,课程评估
价格战危机？你还得跟他学,MAM073509,0.5,课程评估
关键时刻扭转局势，你还需要三个精准让步,MAM073510,0.5,课程评估
谈判场上僵持不下？这是打破僵局最有效的方法,MAM073511,0.5,课程评估
见好就收，结束谈判的三种最好方式,MAM073512,0.5,课程评估
如何把控谈判主线？谈判人员必须具备的技能,MAM073513,0.2,课程评估
不断被挑战底线？谈判场上你需要这么做,MAM073514,0.2,课程评估
对手咄咄逼人？教你如何一招制敌,MAM073515,0.2,课程评估
企业营销管理的难点解析(new),b9b5c9b56fae09373dbc84dfbf6e0b60,1.5,课程评估
有机性营销管理体系的构建思路(new),c97f3e6dfcfdc01080b93681f0cb6a95,1.5,课程评估
如何搭建营销管理体系(new),ff626b19b505a894a3c65b2117beb796,2.5,课程评估
如何实现营销团队职业化转型与提升(new),081afc31cbcf95e7b0c0a5b793412c16,1.5,课程评估
经销商销售数据分析,04fe8c4e4e19a32d97d4eb7513a61078,0.5,课程评估
如何有效拜访经销商，原来一切都是那么简单,45f2b60230809c4d872c7c776ac4c64e,0.5,课程评估
如何加快产品销售，最神奇的技能在这里,d128fba693d61658d035b32093fc59ea,0.5,课程评估
如何更换经销商，一个不需要纠结的决策技能,02e4f96f40d9b402bfeb310562a91c65,0.5,课程评估
让你轻松管控大经销商的秘诀,8720365a1200556c8b7fc54a2dbe276a,0.2,课程评估
公司化运营——经销商突围之路,240def091931480c940c279c05a2450b,0.2,课程评估
认清“伪公司化”，实现真正转型,aa2b0d9907df9f38de4c4e59b86c714b,0.2,课程评估
自我提升成就顶尖导购,8a89bafa8d30bb77688b123a25de8f6f,0.2,课程评估
让营销小白秒变精英的培训技巧,87517a1f8e16299e0e83788babeb8a5d,2.5,课程评估
如何培养优秀的销售人员(new),e8c3601e85af60dd3fc1b3be2e1055b0,1,课程评估
如何建立健全销售制度(new),512d954cffc2b5a667e546f6f3fd8e20,2,课程评估
如何打造优秀的销售团队文化(new),d83415fe060e3cbf199a065cfdc3eb72,0.2,课程评估
激励销售人员的方法,51ee3fd2dfb24f399bf2fe72c896e2c9,0.5,课程评估
激励销售人员的方法,f0d3ade07ac1389d75f4daea67c3b2bf,0.5,课程评估
薪酬设计的基本原理,06b6eb9e714c6ce37c81ff82325a1c8a,0.2,课程评估
顶尖销售人员应具备的素质与形象？,68c0e123464bb87abbf787cc2e2177c1,0.5,课程评估
大客户销售的八种武器(new),cb19c3af7e04d2a722be947f2aefa4c3,1.5,课程评估
一个了解客户的招式,1e733959df3c3e99eeba619e9918df72,2,课程评估
顾问式销售——懂产品更懂你,41ddfb6618b11ab12f34eb4666712af1,0.2,课程评估
客户访谈破冰之旅,bc573b1e2330c8807b865fc23c532509,0.2,课程评估
FAB—引领销售之路的成功学,19ad22c001f03ef3aa8719de9984028e,0.2,课程评估
获取客户承诺，就靠这一招,4bbb56a11aa0b6e4e3a404466e2c8ca6,0.2,课程评估
细分客户，定位市场,5a3053c8f4484eed9005ac8a2d43223a,1.5,课程评估
如何制定有效的销售计划,f5b687077972fe302276cf1006870113,0.2,课程评估
客户类型分析及应对技巧,c3de50096235e04abe445da323dda5c5,0.2,课程评估
关键时刻如何确认客户满意，一个最稳妥的办法,9e4f3bf2ee71cae38fc2670f97a8c737,0.5,课程评估
全网解析：公众号分类及其特点,0c63ca6f599cdfbc292093385a5323b4,0.1,课程评估
老司机教你分析：公众平台的群发及数据统计,ef234cccae7b9c9bf618625587ecdc02,0.1,课程评估
公众号菜单设计的三三制原则,MAM091008,0.5,课程评估
软文营销大师毛泽东,ee2896ec0a7580b76c2280efe697d392,0.2,课程评估
教你轻松搞定软文选题立意的妙招,634c99dd5118ab06644d3fbd48e8e98b,0.5,课程评估
软文的组织编排，离好创意还差最后一步,2b0a7d05202657b86de1feae38407ee8,0.5,课程评估
软文标题设计，出其不意的包装手法,a0684d1294d2611a0949c8738448fb5c,0.5,课程评估
微信活动策划的7个智慧,adb5fb9fbe77a9a9cbb5fc4316f542ec,0.5,课程评估
公众号推广，还能这样玩,d7d1597052f701c3ac956da11e9bdbaf,0.5,课程评估
公众号二次开发的那些事儿,8aafde39c54caf2fd1b4f27fa166c484,0.5,课程评估
小菊咖啡的前世今生,303c958865b89639ff8b38621ec9e98d,0.1,课程评估
小菊咖啡如何在7天众筹540万,30ba2bbc879660a506a7013abeb66ef7,0.5,课程评估
号外！小菊咖啡众筹方案大公开,3df96eaafd6fb02c41c814f96c97bd77,0.5,课程评估
实战经验总结：快速掌握社群众筹特性的那些事,954bb6fd1d0378fbe2fa3efbc67e14ef,0.5,课程评估
透过生活看本质：众筹与众生活新解,44c59c6ebace35cc267fb90e6bfcbf92,0.5,课程评估
轻松辨认：众筹和非法集资区别在哪,77d0d3ecce17db46ba4736eb19fc9d42,0.5,课程评估
老司机带你刷遍社群众筹操作全流程,c40185555f548d8b99f4858352ad6e7c,0.5,课程评估
10分钟教你制定出有吸引力的众筹方案,2077f9a115335d46d3603a5d9433c531,0.5,课程评估
一节课教你如何打造最有效的众筹商业模式,c61242109f71185dc05cc9e9e4a34c87,0.2,课程评估
一节课让你知道，社群将如何重塑人类的连接方式,d2a7ea9408e26553878918b88071224e,0.2,课程评估
从物以类聚走向人以群分，社群进化还需这么做,84497a5602df2a27ebb9e7e2dca86e0e,0.5,课程评估
10分钟教你如何部署社群战略与社群思想,e8dfc408b32c402c0f65c1a60aa266ce,0.5,课程评估
志趣相投？社群创建前必须知道的那些事儿,6c39772be3cccf4ac140b4f959fd6f40,0.2,课程评估
走心之举，教你如何打造社群魅力人格体,7d2463d8028e432fc413a43217e07368,0.2,课程评估
社群始终如一的价值追求？我们还差这一步,baf0907ed29e3608e895d6e01898139b,0.2,课程评估
吾日三省吾身，我们在一起，我们利在一起,9a2c0c75aa441f0510ccdc6742505870,0.1,课程评估
一步打造社群商业图景？我们需要知道这个事,ce3580ab7095de040ae9d2e21f68822a,0.2,课程评估
一节解剖商业本质的社群课,d5b9d46395573c9c8bdef421e631ca3f,0.5,课程评估
一个可以套用公式的社群经济,218d8c861a478e543d093a27e5b13872,0.2,课程评估
解锁社群商业模式新姿势,23e7b09d99171b7d8a50d301426f5488,0.5,课程评估
如何剖析社群维系的核心？竟跟以前不一样,00c3be40348de58e0d28404bcc4d3e71,0.2,课程评估
社群活跃的关键，我们需要这么交互,c970e8a2e0c5762d7ebac22abd4f2ce1,0.2,课程评估
构建生态的前提，我们需要知道的那些事,22b6fd20c588ec6d39c4e370a12216f2,0.1,课程评估
社群怎么变现？一个可以复制的路径和方法,636847afae900f7915d9caff3c063d25,0.5,课程评估
五五构成社群运营，你不知道的事,d333bfd58971f5ad6f177633b3463a98,0.5,课程评估
7大工具助你玩转社群,b8e4dcf2e8900ba5a164f41950bcfb08,0.5,课程评估
社群生态建构？我们还能这么玩,c42c91c9156d8713194c8ff9fac63e25,0.2,课程评估
听说！媒体碰上社群火花四溅,496b2ed705a159ccba9f11d3df0bdd77,0.2,课程评估
一个可以喝的社群？,d795532e31d6f50d6eb6a901edf8bc17,0.5,课程评估
6到飞起的农业+社群，他们是这么做的,32299f0f278afe6abd96b262244013e1,0.2,课程评估
社群的鼻祖？看俱乐部+社群如何玩转市场,fa666d695c5bbab03be344d732c2eb49,0.2,课程评估
最有重量的社群，还能这样轻？,5ea368d78b9db00e4a4a8e2534a1b9a9,0.1,课程评估
创投也能这样玩社群？主动公开的商业机密,a2139406bff4b317caf3760c6db3f61b,0.5,课程评估
销售计划很难制定？想知道成功制定的秘诀么？,3090a9c04b3281eb02cc4168749f24b7,0.5,课程评估
想让销售人员技高一筹么？最全技巧在这里。,49c51af6501d625427f82ab892e27eb2,0.2,课程评估
我已准备好，那些让你日思夜想的方案优化,baf60cd1df4f0e8f1eebd0d5aabe726a,0.5,课程评估
开好销售周例会的诀窍,b368d7b9bf1fe00051c0f5404de6fb58,0.5,课程评估
教你如何成为营销场上的把脉高手,80d0a17e74dd9f958fbf5fc9e6058393,0.5,课程评估
顾客抱怨怎么办？客户投诉怎么办？教你分分钟改变现状,dd0ced47e311f94c3dbb21bf5e0edc68,0.5,课程评估
你想知道如何用合格的服务，来应对客户投诉么？,4fe11846631d790fe961a5476b65c4fc,0.5,课程评估
想让你的服务更专业吗？客户的五星好评在这里,907b718ecfa842a91a7667faf7d685da,0.5,课程评估
如何拯救你，我的服务，忠诚顾客在等你,6fa9baf853a539e5c6b52e7cfde6ee28,0.5,课程评估
教你如何打造优秀的客服团队，你还等什么？,403d9454c3c0e2a903d218c14ee45e68,0.5,课程评估
移动互联时代如何提炼产品卖点,2fea3d70d970d25c5111dd0fab6aec38,0.5,课程评估
移动互联时代如何撰写产品销售话术,18889c6cd447f391362ecd537536683d,0.2,课程评估
想知道怎么写好营销计划么？我们带你超神，带你飞,dc767ef0024f70782366e2202bb741b9,0.5,课程评估
如何有效开展“5+1+1” 行销模式,17d6f83a1c6a41e99cf3ad964ea132ae,1,课程评估
解密开发客户的最有效方法,8602002202a69ee312cca7747974a04f,0.5,课程评估
提高学习力，跟我学“秘笈”,2a43e7b9cf1aee9317dcb099771ff524,0.5,课程评估
VIVO手机直击痛点成就爆品,038c18e374c940dd9c3ae9a2b38e89d0,0.2,课程评估
因为风口而起飞的OFO单车,0ee0603c8321894194473628a1312353,0.2,课程评估
云南白药创口贴赢在一级痛点,8e980fea075996a9584eafe2db25b562,0.2,课程评估
宗庆后做白酒失败因为选错赛道,dcb206cc8f25cf0db032046db58cf941,0.2,课程评估
顺丰借助大数据优势一路跨界,5b09f4460fbdf052ee201e77727bcab0,0.2,课程评估
健力宝等案例说明产品是1营销是0,9571afbfe2428f693f6bc4a57f2cfd1c,0.2,课程评估
惠发食品如何培育自己的互联网基因,73c6f8a48cd1161b4f7aa3e247236b2b,0.2,课程评估
万达商业模式是如何设计流量产品的,fd3efdcf7b8433aaaa763075b378d8ec,0.2,课程评估
海底捞赢在用户体验和口碑,604704889f73f49d11a9f3aa197b7e88,0.2,课程评估
英特尔的用户口碑源自快速迭代,eef6530809e32b1b4ceddd211a30b0d2,0.2,课程评估
褚橙成功在人格背书与用户口碑,297d9219239cc947c6e802715d107922,0.2,课程评估
江小白用网络社群引爆用户口碑,555020c6bf03273a4cc17243e993f10c,0.5,课程评估
酣客酒优化每一步消费触点的体验,fe2eef42b352f37fa7739db85c2913e2,0.2,课程评估
年轻的消费群体更看重消费体验,65f6aa2163e1fd5d7e20a83386a87d34,0.2,课程评估
杜蕾斯的网络事情营销真雷人,e3ac52cdd55121450e2dfe031c3ba943,0.2,课程评估
五粮液与酒仙网联袂打造爆品,59def474c96f49f84e48aee3908c04c6,0.2,课程评估
360免费成功与O2O洗车失败,eb0bae5ec54840c26088b6aa65093434,0.2,课程评估
老字号全聚德与小生周黑鸭,50db3dbb01baadd6fc03b14f5d393e3f,0.2,课程评估
格力聚焦经营与海尔发散思维,ed55f0ef3de7fea2c5fd0f299534c8c7,0.2,课程评估
互联网时代企业家必须是产品家,ea32f85effb01ba11c4b9d55cc35160f,0.2,课程评估
俏江南不俏与HTC的落寞,0bf2126e994a345e395547406696589c,0.2,课程评估
霸王倒下茅台失势与恒大冰泉贱卖,e2fdba766bb6930b529e10b7521eb4ac,0.2,课程评估
新国酒梦之蓝的爆品战略,25d1eba5450e128d1845ef78b876ea97,0.2,课程评估
穿内裤的水蜜桃带来不一样的体验,d62ac7ab83bfcc6cf43de42e4491a5b1,0.2,课程评估
三个案例解读爆品内涵,7e59878777ff6c22cb8d2ea3ede6b7c1,0.5,课程评估
苹果极致简约的互联网法则,646221396f6d7adf501904dcda40b7c7,0.2,课程评估
小米专注极致的爆品方法论,646939efb13181e3a32ed3aa0568ac79,0.5,课程评估
东阿阿胶清晰定位与借势上位,a144156666d11d88386f3e2ac4f74653,0.2,课程评估
如何引流与留存、激活用户,28abf5fe32de8ddfe11bd95246045a44,0.5,课程评估
社群为什么会做内容,b81e4c1a58c406655dd35afed40b6eeb,0.2,课程评估
从旧电商到新零售：社群最小单位的“分”“合”创新,651290728f5e71e20b559d2189c0c38f,0.5,课程评估
社群为什么不挣钱,5bcac52d4cd16755c441b5c38ca8aa95,0.5,课程评估
微活动商业价值体系,6d60ccade4f316e9c8b4f850916837ab,0.2,课程评估
自组织O2O社群运营体系,72c0d52181b4e01ba6346d8faa3e737e,0.5,课程评估
微营销全案系统,f0d42e836b350a15480255c7d6b3faf4,0.5,课程评估
社群变现：如何面对机会与效率,9649f06caa9f08de7966d5cf0d397eca,0.5,课程评估
如何看待社群商业平台变现四大类,84de6a4450caa0e6748bf1dda9a7fc4b,0.5,课程评估
四招实现高效客户拜访,eb644bb8a37e4c708b1d8e5fce29e53c,0.5,课程评估
社群运营的五个坑-车马炮社群里卖象棋,adafe2864899da7e7677da0dcc4ad6d0,0.2,课程评估
社群运营的五个坑-做社群卖产品，产品销售低，认为社群没有价值,15c813a7b61a1d2036121034bf0a0c5b,0.2,课程评估
社群运营的五个坑-社群运营成本,9cec97679f5a70756af781e4487d43b0,0.2,课程评估
社群运营的五个坑-做社群与做品牌混淆,a3fb078a8c85569fad93bb75642b5493,0.2,课程评估
社群运营的五个坑-物以类聚 人以群分,65a3bfda0b13f5194c77395658081f11,0.2,课程评估
内容创业与IP,c521bedb7ec0e743d770cd03d46cf4f1,0.5,课程评估
IP化运营案例解析,cf6204dd1bbeb5684e4874a1138f6d29,0.2,课程评估
从“贪嗔痴”到“真善美”,ddea6d739dd1a5cdd72d7cb19ce772aa,0.2,课程评估
自媒体营销方案,d2d4bcf708c64a7c937e15c7799eb0c6,0.4,课程评估
什么是社群运营,a47ee415ee54789f9666b81efdece13d,0.2,课程评估
微信群运营的五手指,4a3b6ac3d86b2a525ac61d738a7d1ab2,0.5,课程评估
如何准确把握顾客顾虑,702c8cd153384d6cb9ad6e05fd78bb94,0.1,课程评估
如何掌握消除客户顾虑的原则,1b27594f7d14b33153a20ecd35afc76b,0.1,课程评估
如何有效地消除顾客顾虑,b7e98160e72998f2eb0e56832d0c08a1,0.1,课程评估
如何通过及时领会来正确解读顾客购买信号,d5ce2c587cf74096c04390168984d017,0.1,课程评估
如何通过察言观色来正确解读顾客购买信号,506c97b2159e292f31996a42d9561a58,0.1,课程评估
如何理解顾客的购买信号,4c69585fe30e134a06084b69b53f5a6f,0.1,课程评估
如何使用敏感性分析支持新产品定价,34b4d8edb72f8854b3695c98506d30fa,0.1,课程评估
如何通过市场定位来分析与评估竞争对手,d16a0fc6c656f6c86c22f88d6bcf3852,0.1,课程评估
如何结合新产品的特性进行定价,55a3b004bb31b5b9c1fa415a133fa753,0.1,课程评估
如何强调产品将带给客户的利益,b435d91746e6c851c902bae10d850572,0.1,课程评估
如何对新产品进行差别定价,61532195eb7f2e7f6c1ae65fce6cda03,0.1,课程评估
如何为客户准备诱人的额外实惠,1175b02148ecaea3ed83dcb1c1e67280,0.1,课程评估
如何营造客户抢购的紧张气氛,d1380917d2fc8a53b38df0fc8831a71f,0.1,课程评估
如何以企业整体产品策略为导向,af070eaa68d1acbd310d65bfb621837c,0.1,课程评估
如何明确营销组合控制的目的,10826fe66b5166e59de59590819fa8c6,0.1,课程评估
如何找出顾客需求,b0712defb0e29bbcc2c4e8afff1d6484,0.1,课程评估
如何选择目标产品线和产品组合,2c3d037fcdcfe49e9537df3e12d72c81,0.1,课程评估
如何为顾客做好产品示范,a1451afff4f9014b50633747aebb602a,0.1,课程评估
如何逼对方先出价格牌,cdefbe3adf438d0f32c742432f4e66da,0.1,课程评估
如何避免成交突然遭遇变故,788ba447b786baf8da8d1c964ca5e22a,0.2,课程评估
如何用实际利益诱导推动成交,014fc7a3dc114b696a25c2e9d5ecbaf7,0.1,课程评估
如何规避营销组合控制的风险,77fe635ffd7701743cd0a41ec6aa87e2,0.1,课程评估
如何合理利用竞争产品促进成交,b03cfa00366798ea1c6b17564b65d19f,0.1,课程评估
如何规划营销组合控制的策略,408aff19c81dd56a169dc30f2c5ed134,0.1,课程评估
如何吸引顾客注意力,917988a9db1d46ce4daa2175e3b8c31e,0.1,课程评估
如何精确选择产品组合策略,f940eab42ac817444bb720b3bcff251b,0.1,课程评估
如何留好足够的价格底牌,b3e9c7b92703c8c0c43554023d421472,0.1,课程评估
如何收集有用的价格信息,67dfed89c78e239f35a739406f226a0b,0.1,课程评估
如何优化产品包装策略,4644ce53890c09f61f91a4ca84b24e5a,0.1,课程评估
如何制定产品附赠包装策略,87d991cfc1e7a29302749319b46f0aca,0.1,课程评估
如何制定差异化产品包装策略,5c49199195c5a0086677d733a2f2909a,0.1,课程评估
如何制定动态库存量,ab17140de7327f0f0070a9064564830c,0.1,课程评估
如何建立库存预警,bcf1ac06eb0f47b22c15ca6d0407ea5b,0.1,课程评估
如何做好存货管理,a189d9c0ad58d8a909114b1d699e57a4,0.1,课程评估
如何根据产品实际效用制定产品策略,6bf1ec52e1cf7564ea82af30a7f78bae,0.1,课程评估
如何以企业竞争战略为导向制定产品策略,03d35f9f3e370dbd0fdcba9b9389f2cd,0.1,课程评估
如何配合企业市场战略制定产品策略,aaa6701a5788d1adf89dc412854387f8,0.1,课程评估
如何选定新产品目标受众,c58746f571ec7fcfdfc2a3bd09fbc6ff,0.1,课程评估
如何用招徕定价迎合顾客的求廉心理,56ad65d3c98c40ddda54e744c67996aa,0.1,课程评估
如何运用尾数定价满足顾客的实惠心理,0ada9b251b24db4bd1114c6c547bbba3,0.1,课程评估
如何从框架效应角度满足顾客的折扣心理,0e039d09d2b738b455a5ab599b7a927d,0.1,课程评估
如何选择调价方式,5b668805e8ca8013ba5efda97679b657,0.1,课程评估
如何把控调价幅度,130ddbc263adbf441f0bcb7df9519ec0,0.1,课程评估
如何选择适当的调价时机,c3d41ca1f8de4d277352009bec732055,0.2,课程评估
如何与同周期竞争产品产生差异化,82566abb2d8d35dbdcaa21a8c56eea34,0.1,课程评估
如何根据产品生命周期制定产品营销策略,ac6b32a547f2aeb67811e6ade179a0f3,0.1,课程评估
如何分析判断产品所处生命周期阶段,bf65585e114da34d87667576dd7d59c3,0.1,课程评估
如何做好新产品测试改进,9a481db8518f8971440b7f219bd79541,0.1,课程评估
如何确定新产品开发创意,e9bd919028818d4b5a60d398753f004a,0.1,课程评估
大客户销售的基本概念,f105095a4d79905554d590a0c4755e32,0.5,课程评估
潜在客户的开发技巧,2d4d9c2835f86e405f970d06587952ac,0.5,课程评估
客户组织与采购决策链深入剖析,8f86d97678d72430e1695b045c0704d4,1.5,课程评估
互联网时代组织转型的认知,b61caa4f60226b0326470f70b5f9e8a3,0.5,课程评估
互联网组织转型之创新导向，垂直融合,1c08093c30f9368d36015e763e39d5ae,0.5,课程评估
互联网组织转型之知识分享，共享学习,d7f0386097d3110d3e24a5d439937184,0.5,课程评估
互联网组织转型之重塑价值，共同进化,1e0c6be79aeb0750a77e733409352944,0.5,课程评估
如何选择好的工业品经销商,c46757e22ea111e89014ae23fd4f5527,0.5,课程评估
